date,bank_sector_gdp,number_of_commercial_banks,cash,invt_securities,loans,trading_assets,all_other_assets,int_bearing_deps,nonint_bearing_deps,fed_funds_and_repo,trading_liabs,oth_borr_money,other_liabs,re_loans,c_i_loans,consumer_loans,all_other_loans,roe,unlevered_roa,tier_1_ratio,net_interest_margin,,1,fiduciary,servicing,trading,vc,service_fees,securitization,other,risk_weighted_assets_assets,loan_loss_provisions_loans,net_chargeoffs_loans,loan_loss_reserves_loans,market_cap_tier1,market_leverage,2,date_key,geo_key
2000-01-01,0.5696919560432434,8458,0.047117896378040314,0.18321624398231506,0.5842525362968445,0.05624237656593323,0.12917092442512512,0.5302393436431885,0.12534528970718384,0.10086455941200256,0.037564314901828766,0.12256649881601334,0.05678030475974083,0.4629356563091278,0.27691158652305603,0.1452055722475052,0.11494720727205276,,,0.08883271366357803,0.008052743040025234,0.6736980080604553,0.32630202174186707,0.11718443781137466,0.1150369718670845,0.10330519825220108,0.0,0.0,0.0,0.0,0.7926719188690186,,,,2.8246147632598877,5.774094581604004,0.02666884873703661,20000101,USA
2000-04-01,0.5744238495826721,8416,0.048692379146814346,0.17538578808307648,0.5881670713424683,0.05854232236742973,0.12921246886253357,0.5257309675216675,0.12430141121149063,0.10180153697729111,0.034547194838523865,0.1311119943857193,0.056101493537425995,0.4663631021976471,0.27639997005462646,0.14226508140563965,0.11497185379266739,0.14023345708847046,0.047721318900585175,0.08695939928293228,0.007951261475682259,0.7119852304458618,0.28801479935646057,0.13616397976875305,0.13635005056858063,0.09263571351766586,0.0,0.0,0.0,0.0,0.7938311100006104,0.0018297667847946286,0.001312689739279449,0.016687534749507904,2.6019628047943115,6.304437160491943,0.028270922185711166,20000401,USA
2000-07-01,0.5780924558639526,8314,0.04770006984472275,0.17357134819030762,0.5927762985229492,0.055970996618270874,0.12998124957084656,0.529915452003479,0.12017632275819778,0.09810859709978104,0.036524564027786255,0.13052591681480408,0.05774526670575142,0.4667939841747284,0.27455300092697144,0.14219065010547638,0.11646238714456558,0.1800689399242401,0.05289357155561447,0.08711878955364227,0.007908829487860203,0.7066975235939026,0.29330241680145264,0.12928296625614166,0.1307959407567978,0.08220313489437103,0.0,0.0,0.0,0.0,0.8007329702377319,0.001560045639052987,0.0013303386513143778,0.016303228214383125,3.0752241611480713,5.427041530609131,0.028826168354097185,20000701,USA
2000-10-01,0.5838388800621033,8255,0.05090447515249252,0.16340859234333038,0.5710185766220093,0.07792583107948303,0.13674253225326538,0.5097038149833679,0.12067491561174393,0.09529034793376923,0.05111902579665184,0.13706058263778687,0.0586429201066494,0.46293988823890686,0.2738211452960968,0.1498352289199829,0.11340375244617462,0.18088483810424805,0.06338247656822205,0.08772239089012146,0.008827103301882744,0.7033075094223022,0.29669246077537537,0.12609222531318665,0.11428758502006531,0.11708373576402664,0.0,0.0,0.0,0.0,0.7799277305603027,0.0031958846375346184,0.002810484729707241,0.01709161326289177,3.046614408493042,5.553354740142822,0.028708843063251697,20001001,USA
2001-01-01,0.5912296175956726,8177,0.045588623732328415,0.15590383112430573,0.5694360733032227,0.07962863892316818,0.14944282174110413,0.5136005878448486,0.11568938940763474,0.10126875340938568,0.05119618773460388,0.13781701028347015,0.05920080840587616,0.46959972381591797,0.271117627620697,0.14841733872890472,0.11086530983448029,0.17052088677883148,0.04950655996799469,0.08881815522909164,0.007727535907179117,0.701179027557373,0.29882094264030457,0.12231271713972092,0.13242162764072418,0.14647173881530762,0.0006176772876642644,0.06450492143630981,0.050037931650877,0.4833231270313263,0.7817304134368896,0.001981702633202076,0.0018078081775456667,0.016672009602189064,2.874880790710449,5.687750339508057,0.027136857225559176,20010101,USA
2001-04-01,0.5853648781776428,8116,0.04857099801301956,0.15501125156879425,0.5683751106262207,0.07998248934745789,0.14806009829044342,0.5125996470451355,0.11931129544973373,0.10754098743200302,0.045743297785520554,0.1331813484430313,0.06066524609923363,0.47531646490097046,0.2644087076187134,0.15024709701538086,0.1100277304649353,0.15042661130428314,0.043811600655317307,0.09025298058986664,0.008038668893277645,0.7086108922958374,0.2913891673088074,0.133413627743721,0.15368226170539856,0.10056699812412262,-0.05942631885409355,0.07798401266336441,0.05540360137820244,0.5376384258270264,0.7778604030609131,0.0022090261336416006,0.0019827336072921753,0.016783947125077248,3.0848395824432373,5.3107075691223145,0.025584802361156563,20010401,USA
2001-07-01,0.6034705638885498,8090,0.047813531011343,0.1586553007364273,0.5447407364845276,0.08646626025438309,0.1623242050409317,0.4995540380477905,0.11682984232902527,0.11128945648670197,0.04803738743066788,0.12578122317790985,0.07781866192817688,0.4768025577068329,0.2595271170139313,0.15006022155284882,0.11361011862754822,0.1416569948196411,0.03893567994236946,0.08901716768741608,0.007810473442077637,0.6986920237541199,0.3013080358505249,0.12920868396759033,0.154730424284935,0.09212277829647064,-0.03263087570667267,0.07675392180681229,0.06694027036428452,0.5122920870780945,0.7533654570579529,0.0028854799456894398,0.0024092684034258127,0.017573527991771698,2.7248969078063965,6.136795520782471,0.025264667665485418,20010701,USA
2001-10-01,0.5992306470870972,8023,0.051867615431547165,0.17026439309120178,0.5470913648605347,0.07471916079521179,0.1560574471950531,0.5100175142288208,0.13260260224342346,0.10115668922662735,0.04504726454615593,0.12212593853473663,0.06818660348653793,0.4880845844745636,0.2509479820728302,0.1538102775812149,0.1071571633219719,0.14917254447937012,0.03303688392043114,0.09025498479604721,0.008333870209753513,0.6625255346298218,0.33747440576553345,0.13540193438529968,0.1486048549413681,0.04882892593741417,-0.021219424903392792,0.07891121506690979,0.07194385677576065,0.5368879437446594,0.7626868486404419,0.0038068736903369427,0.00302926916629076,0.01827116683125496,2.93560528755188,5.622293472290039,0.024000498259849557,20011001,USA
2002-01-01,0.5897404551506042,7949,0.04449402168393135,0.1731337010860443,0.5446465611457825,0.07920794188976288,0.15851779282093048,0.5160764455795288,0.12381649762392044,0.11021421104669571,0.04677548259496689,0.11892391741275787,0.06311359256505966,0.49200427532196045,0.24747595191001892,0.15479102730751038,0.10572875291109085,0.19611236453056335,0.03315473347902298,0.09394830465316772,0.008426700718700886,0.6479561924934387,0.35204383730888367,0.11615242063999176,0.1432756632566452,0.09150058031082153,-0.0033025245647877455,0.07545224577188492,0.054744280874729156,0.5217506885528564,0.7555524706840515,0.0026340389158576727,0.0023897322826087475,0.018882907927036285,2.9858150482177734,5.378955841064453,0.021953369624289377,20020101,USA
2002-04-01,0.5927507281303406,7911,0.047056976705789566,0.17523345351219177,0.5368595123291016,0.08611448854207993,0.15473555028438568,0.5123481154441833,0.12366192042827606,0.10797945410013199,0.050634074956178665,0.11991757899522781,0.06444589793682098,0.5011062622070312,0.23674489557743073,0.15614089369773865,0.10600793361663818,0.18008337914943695,0.032376375049352646,0.09475105255842209,0.008279317989945412,0.6556047797203064,0.344395250082016,0.12223590910434723,0.15253978967666626,0.06876257061958313,-0.012942176312208176,0.06759393215179443,0.05867868289351463,0.5421207547187805,0.7419989705085754,0.0028277530800551176,0.0026120152324438095,0.018880223855376244,2.770552635192871,5.775796890258789,0.020950382386219997,20020401,USA
