year,hys,notes,date_key
2000,0.1811538,,20000101
2001,0.1999399,,20010101
2002,0.250223,,20020101
2003,0.3958468,,20030101
2004,0.4926379,,20040101
2005,0.3946165,,20050101
2006,0.3764082,,20060101
2007,0.3339766,,20070101
2008,0.1776487,,20080101
2009,0.2815156,,20090101
2010,0.4479831,,20100101
2011,0.3348568,,20110101
2012,0.3698755,,20120101
2013,0.399761,,20130101
2014,0.3444874,,20140101
2015,0.2473771,,20150101
